name,x,y,z,colorValue
Education/Health/Human Svcs,0.507662441,0.796007304,1191410,0.06946545
Entertainment Svcs,0.794901599,0.55500016,444722,0.03713413
Extraction/Construction,0.411953983,0.696378461,225832,0.04256308
Financial,0.187987418,2.210556232,372692,-0.1945539
Information,0.34672836,1.592854876,174313,-0.294504
International Affairs,0.168263093,0.999342306,167825,0.07283804
Manufacturing,0.344609679,1.008151182,125344,0.02902648
Other Svcs,0.663321257,0.573676848,219673,0.07832786
Professional,0.319324786,1.42472895,718395,-0.1734201
Retailers,0.732680598,0.579704673,385460,0.07974839
Transportation & Utilities,0.39836183,0.656751079,284100,0.22225519
Wholesalers,0.256133325,1.031943077,67055,-0.0239751
